id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62755,Aleksandra Yuryevna Korelova,F,31.0,167.0,62.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",,Russia,22.2
62760,Sergey Arsentyevich Korepanov,M,32.0,170.0,60.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics 50 Kilometres Walk,,Kazakhstan,20.8
62760,Sergey Arsentyevich Korepanov,M,36.0,170.0,60.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics 50 Kilometres Walk,,Kazakhstan,20.8
62760,Sergey Arsentyevich Korepanov,M,40.0,170.0,60.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics 50 Kilometres Walk,,Kazakhstan,20.8
62761,Aleksandr Gennadyevich Koreshkov,M,29.0,181.0,84.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey,,Kazakhstan,25.6
62761,Aleksandr Gennadyevich Koreshkov,M,37.0,181.0,84.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey,,Kazakhstan,25.6
62762,Yevgeny Gennadyevich Koreshkov,M,27.0,170.0,80.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey,,Kazakhstan,27.7
62762,Yevgeny Gennadyevich Koreshkov,M,35.0,170.0,80.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey,,Kazakhstan,27.7
62763,Boris Nikolayevich Koretsky,M,27.0,176.0,65.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Foil, Individual",,Russia,21.0
62763,Boris Nikolayevich Koretsky,M,27.0,176.0,65.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Foil, Team",Gold,Russia,21.0
62767,Nataliya Stanislavovna Koreyvo,F,26.0,175.0,58.0,Belarus,BLR,2012 Summer,2012,Summer,London,Athletics,"Athletics 1,500 Metres",,Belarus,18.9
62783,Avtandil Koridze,M,25.0,167.0,67.0,Soviet Union,GEO,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Lightweight, Greco-Roman",Gold,Georgia,24.0
