id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27721,V'iacheslav Vasylovych Derkach,M,25.0,175.0,69.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.5,Skiing,34,27,55.74,44.26
27721,V'iacheslav Vasylovych Derkach,M,25.0,175.0,69.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.5,Skiing,34,27,55.74,44.26
27721,V'iacheslav Vasylovych Derkach,M,29.0,175.0,69.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.5,Skiing,40,50,44.44,55.56
27721,V'iacheslav Vasylovych Derkach,M,33.0,175.0,69.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.5,Skiing,46,36,56.1,43.9
27721,V'iacheslav Vasylovych Derkach,M,33.0,175.0,69.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.5,Skiing,46,36,56.1,43.9
27753,Kateryna Oleksandrivna Derun,F,22.0,167.0,75.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Javelin Throw,,Ukraine,26.9,Combined,54,23,70.13,29.87
27761,Nataliya Borisovna Deryugina,F,21.0,183.0,82.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball,Bronze,Russia,24.5,Team,29,44,39.73,60.27
27762,Andriy Vasylovych Deryzemlia,M,20.0,188.0,80.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.6,Skiing,41,37,52.56,47.44
27762,Andriy Vasylovych Deryzemlia,M,20.0,188.0,80.0,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.6,Skiing,41,37,52.56,47.44
27762,Andriy Vasylovych Deryzemlia,M,24.0,188.0,80.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.6,Skiing,34,27,55.74,44.26
27762,Andriy Vasylovych Deryzemlia,M,24.0,188.0,80.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.6,Skiing,34,27,55.74,44.26
27762,Andriy Vasylovych Deryzemlia,M,28.0,188.0,80.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.6,Skiing,40,50,44.44,55.56
27762,Andriy Vasylovych Deryzemlia,M,28.0,188.0,80.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 12.5 Kilometres Pursuit,,Ukraine,22.6,Skiing,40,50,44.44,55.56
27762,Andriy Vasylovych Deryzemlia,M,28.0,188.0,80.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.6,Skiing,40,50,44.44,55.56
27762,Andriy Vasylovych Deryzemlia,M,28.0,188.0,80.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.6,Skiing,40,50,44.44,55.56
27762,Andriy Vasylovych Deryzemlia,M,32.0,188.0,80.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.6,Skiing,46,36,56.1,43.9
27762,Andriy Vasylovych Deryzemlia,M,32.0,188.0,80.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 12.5 Kilometres Pursuit,,Ukraine,22.6,Skiing,46,36,56.1,43.9
27762,Andriy Vasylovych Deryzemlia,M,32.0,188.0,80.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 15 Kilometres Mass Start,,Ukraine,22.6,Skiing,46,36,56.1,43.9
27762,Andriy Vasylovych Deryzemlia,M,32.0,188.0,80.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 20 Kilometres,,Ukraine,22.6,Skiing,46,36,56.1,43.9
27762,Andriy Vasylovych Deryzemlia,M,32.0,188.0,80.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon 4 X 7.5 Kilometres Relay,,Ukraine,22.6,Skiing,46,36,56.1,43.9
27762,Andriy Vasylovych Deryzemlia,M,36.0,188.0,80.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon 10 Kilometres Sprint,,Ukraine,22.6,Skiing,46,32,58.97,41.03
27762,Andriy Vasylovych Deryzemlia,M,36.0,188.0,80.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 X 6 Kilometres And 7.5 Relay,,Ukraine,22.6,Skiing,46,32,58.97,41.03
